Pelle Programmerare;25;2000;ja;ja;Sverige;Stockholm
Sara Svensson;3;500;nej;nej;Danmark;Köpenhamn
Kim Karlsson;12;1500;ja;ja;Norge;Oslo
Anna Andersson;2;300;nej;nej;Sverige;Göteborg
Erik Eriksson;5;1200;ja;ja;Finland;Helsingfors
Fatima Hassan;21;3500;nej;ja;Sverige;Stockholm
Johan Johansson;8;750;ja;nej;Danmark;Århus
Linnea Lind;1;200;nej;ja;Norge;Bergen
Ali Ahmed;20;4000;ja;ja;Finland;Åbo
Emma Ek;6;900;nej;nej;Sverige;Göteborg
Oscar Olsson;30;6000;ja;ja;Norge;Oslo
Maja Magnusson;4;450;nej;nej;Danmark;Köpenhamn
Noah Nilsson;15;2200;ja;nej;Sverige;Malmö
Sofia Sjöberg;2;800;ja;ja;Finland;Helsingfors
Amir Aziz;7;1600;nej;ja;Sverige;Stockholm
Elin Engström;22;2800;ja;nej;Danmark;Århus
Viktor Vik;5;650;nej;ja;Norge;Bergen
Nora Nord;10;1800;ja;ja;Finland;Åbo
David Dahl;1;100;nej;nej;Sverige;Malmö
Julia Jonsson;35;7500;ja;ja;Norge;Oslo
